Company,Product,TypeName,Inches,ScreenResolution,ScreenType,TouchScreen,CPU_Company,CPU_Type,Frequency_GHz,Frequency_Category,RAM_GB,RAM_Category,Memory,Total_Memory,Memory_Category,GPU_Company,GPU_Type,OpSys,Weight_kg,Price_Rs,Price_Category
Apple,MacBook Pro,Ultrabook,13.3,2560x1600,IPS Panel Retina Display,No,Intel,Core i5,2.3,Average Frequency,8,Average RAM,128GB SSD,128,Low Memory,Intel,Iris Plus Graphics 640,macOS,1.37,119934,High Budget
Apple,Macbook Air,Ultrabook,13.3,1440x900,Not Specified,No,Intel,Core i5,1.8,Low Frequency,8,Average RAM,128GB Flash Storage,128,Low Memory,Intel,HD Graphics 6000,macOS,1.34,80433,High Budget
HP,250 G6,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i5 7200U,2.5,Average Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,HD Graphics 620,No OS,1.86,51502,Average Budget
Apple,MacBook Pro,Ultrabook,15.4,2880x1800,IPS Panel Retina Display,No,Intel,Core i7,2.7,Average Frequency,16,Average RAM,512GB SSD,512,Low Memory,AMD,Radeon Pro 455,macOS,1.83,227239,High Budget
Apple,MacBook Pro,Ultrabook,13.3,2560x1600,IPS Panel Retina Display,No,Intel,Core i5,3.1,High Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,Iris Plus Graphics 650,macOS,1.37,161494,High Budget
Acer,Aspire 3,Notebook,15.6,1366x768,Not Specified,No,AMD,A9-Series 9420,3.0,High Frequency,4,Low RAM,500GB HDD,500,Low Memory,AMD,Radeon R5,Windows 10,2.1,35828,Low Budget
Apple,MacBook Pro,Ultrabook,15.4,2880x1800,IPS Panel Retina Display,No,Intel,Core i7,2.2,Average Frequency,16,Average RAM,256GB Flash Storage,256,Low Memory,Intel,Iris Pro Graphics,Mac OS X,2.04,191590,High Budget
Apple,Macbook Air,Ultrabook,13.3,1440x900,Not Specified,No,Intel,Core i5,1.8,Low Frequency,8,Average RAM,256GB Flash Storage,256,Low Memory,Intel,HD Graphics 6000,macOS,1.34,103722,High Budget
Asus,ZenBook UX430UN,Ultrabook,14.0,1920x1080,Full HD,No,Intel,Core i7 8550U,1.8,Low Frequency,16,Average RAM,512GB SSD,512,Low Memory,Nvidia,GeForce MX150,Windows 10,1.3,133907,High Budget
Acer,Swift 3,Ultrabook,14.0,1920x1080,IPS Panel Full HD,No,Intel,Core i5 8250U,1.6,Low Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,UHD Graphics 620,Windows 10,1.6,68968,Average Budget
HP,250 G6,Notebook,15.6,1366x768,Not Specified,No,Intel,Core i5 7200U,2.5,Average Frequency,4,Low RAM,500GB HDD,500,Low Memory,Intel,HD Graphics 620,No OS,1.86,35201,Low Budget
HP,250 G6,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i3 6006U,2.0,Average Frequency,4,Low RAM,500GB HDD,500,Low Memory,Intel,HD Graphics 520,No OS,1.86,30812,Low Budget
Apple,MacBook Pro,Ultrabook,15.4,2880x1800,IPS Panel Retina Display,No,Intel,Core i7,2.8,Average Frequency,16,Average RAM,256GB SSD,256,Low Memory,AMD,Radeon Pro 555,macOS,1.83,218461,High Budget
Dell,Inspiron 3567,Notebook,15.6,1920x1080,Full HD,No,Intel,Core i3 6006U,2.0,Average Frequency,4,Low RAM,256GB SSD,256,Low Memory,AMD,Radeon R5 M430,Windows 10,2.2,44605,Average Budget
Apple,"MacBook 12""",Ultrabook,12.0,2304x1440,IPS Panel Retina Display,No,Intel,Core M m3,1.2,Low Frequency,8,Average RAM,256GB SSD,256,Low Memory,Intel,HD Graphics 615,macOS,0.92,113037,High Budget
